source,target,weight
ABL1,BCL2,1
ABL1,FOXO3,0
ABL1,JUN,0
ABL1,JUN,1
ABL1,TP53,0
AHR,ARNT,2
AHR,MYC,2
FOS,MMP9,0
FOS,MMP9,1
FOS,MMP9,2
FOS,CREM,0
FOS,FOXA1,2
FOS,MYC,1
FOS,NFKB1,1
FOS,SMAD4,2
FOS,TP53,2
APC,BIRC5,2
APC,KLF4,2
APC,MYC,1
AR,ERBB2,0
AR,ERBB2,2
AR,MUC1,1
AR,CTNNB1,0
AR,ELK4,2
AR,EP300,0
AR,FOXA1,2
AR,JUN,0
AR,KLF5,2
AR,MYC,2
AR,NFKB1,1
AR,NKX3-1,0
AR,NKX3-1,2
AR,RELA,1
AR,TBP,2
AR,TCF7L2,2
ARNT,HIF1A,0
ESR1,BCL2,0
ESR1,BCL2,2
ESR1,CXCL12,2
ESR1,FOS,2
ESR1,FOS,2
ESR1,KRT19,0
ESR1,SERPINE1,0
ESR1,AHR,2
ESR1,BRCA1,2
ESR1,E2F1,2
ESR1,MYC,2
ESR1,RUNX2,2
ESR1,SP1,2
ESR1,TP53,1
ESR1,ZEB1,0
ARNTL2,SERPINE1,0
ATF1,BCL2,2
ATF1,ERBB2,2
ATF1,TGFB2,0
ATF1,GABPA,2
ATF1,MITF,0
ATF1,MITF,2
ATF2,TGFB2,1
ATF2,RELA,0
ATF5,BCL2,0
ATF5,EGR1,2
ATF5,CREB1,0
EGR1,EP300,0
EGR1,EP300,2
EGR1,HIF1A,0
EGR1,MYB,1
EGR1,NFKB1,2
EGR1,PPARG,2
EGR1,TCF4,0
EGR1,TP53,0
EGR1,TP73,2
ATF7,ERBB2,2
ATM,BCL2,1
ATM,SP1,1
ATM,SP1,2
BACH2,BCL2,2
BACH2,XBP1,1
BARD1,ESR1,0
BARD1,ESR1,0
BARX2,ESR1,2
BARX2,ESR1,2
BRCA1,EGR1,2
BRCA1,KRT5,2
BRCA1,ATM,0
BRCA1,DDB2,0
BRCA1,EP300,0
BRCA1,EP300,2
BRCA1,HIF1A,2
BRCA1,MYC,2
BRCA1,SIRT1,0
BRCA1,STAT1,0
BRCA1,STAT3,2
CEBPA,BCL2,1
CEBPA,MYC,1
CEBPA,STAT3,2
CIITA,MMP9,1
CIITA,IRF1,2
CIITA,SIRT1,1
CIITA,STAT1,2
CREB1,BCL2,0
CREB1,BCL2,2
CREB1,ERBB2,2
CREB1,FOXA1,2
CREB1,GABPA,2
CREB1,MITF,0
CREB1,NF1,2
CREB1,SNAI2,1
CREM,CREB1,1
CREM,TBP,2
CTNNB1,BIRC5,2
CTNNB1,GLI2,2
CTNNB1,JUN,0
CTNNB1,JUN,2
CTNNB1,MYC,0
CTNNB1,MYC,2
CTNNB1,RB1,1
DDB2,BCL2,1
DEK,BCL2,0
DENND4A,ERBB2,1
DNMT1,BIRC5,1
DNMT1,HDAC1,2
DNMT1,RB1,1
DNMT1,RUNX3,2
DNMT1,TP53,2
E2F1,BCL2,0
E2F1,BIRC5,0
E2F1,BIRC5,1
E2F1,BIRC5,2
E2F1,SERPINE1,1
E2F1,ATM,0
E2F1,ATM,2
E2F1,ETV4,0
E2F1,MYB,2
E2F1,MYC,0
E2F1,MYCN,0
E2F1,PPARG,0
E2F1,PPARG,2
E2F1,RB1,0
E2F1,TP53,0
E2F1,TP53,1
E2F1,TP53,2
E2F1,TP73,0
E2F1,TP73,2
E2F4,BIRC5,2
E2F4,AR,2
E2F4,BRCA1,0
E2F4,BRCA1,1
E2F4,BRCA1,2
E2F4,MYC,2
E2F4,PPARG,1
EHMT2,BIRC5,2
EHMT2,RUNX3,0
ELF1,ERBB2,2
ELF3,MMP9,1
ELF4,MMP9,1
ELK1,ERBB2,2
ELK1,FOS,2
ELK1,FOS,2
ELK1,SRF,2
ELK4,FOS,0
ELK4,FOS,2
ELK4,FOS,0
ELK4,FOS,2
EP300,BIRC5,0
EP300,BIRC5,1
EP300,ERBB2,2
EP300,MMP9,0
EP300,DNMT1,0
EP300,MYC,1
EP300,NFKB1,2
EP300,PARP1,2
EP300,RELA,2
EP300,TP73,0
EP300,WT1,0
EP300,YY1,2
EP300,ZEB1,2
EPAS1,SERPINE1,0
EPAS1,USF2,2
ERCC2,BCL2,1
ERCC2,TP53,0
PGR,BCL2,0
PGR,BCL2,2
PGR,ERBB2,1
PGR,ESR1,0
PGR,ESR1,0
PGR,E2F1,0
PGR,FOXP3,1
PGR,MYC,2
PGR,RELA,1
ESR2,SERPINE1,1
ETS1,MMP9,0
ETS1,MMP9,2
ETS1,MYB,0
ETS1,NKX3-1,0
ETS1,PARP1,0
ETS1,PARP1,1
ETS1,TFAP2A,0
ETS2,EGR1,2
ETS2,MMP9,0
ETS2,MYC,2
ETS2,TP53,2
ETV4,ERBB2,1
ETV4,ERBB2,2
ETV4,ETS1,0
FOXA1,BCL2,1
FOXA1,BRCA1,2
FOXA1,MYC,2
FOXA1,NF1,0
FOXF2,CXCL12,0
FOXO3,BIRC5,2
FOXO3,AR,0
FOXO3,AR,2
FOXO3,SIRT1,0
FOXP3,ERBB2,2
FOXP3,SATB1,2
GABPA,ERBB2,2
GATA1,MUC1,2
GATA1,DACH1,1
GATA1,WT1,0
GATA1,WT1,2
GATA3,MUC1,0
GATA3,RELA,2
GATA3,TCF7L2,2
GATA3,ZEB1,0
GATA4,ERBB2,1
GATA4,HDAC9,1
GLI1,BCL2,0
GLI1,BCL2,1
GLI1,BCL2,2
GLI2,BCL2,0
GLI2,JUN,2
HDAC1,BIRC5,2
HDAC1,MMP9,1
HDAC1,E2F1,1
HDAC1,KLF4,1
HDAC1,NFKB1,2
HDAC1,RUNX3,0
HDAC1,RUNX3,1
HDAC1,RUNX3,2
HDAC1,SNAI2,1
HDAC1,SP1,1
HDAC1,STAT3,2
HDAC1,TP53,1
HDAC7,MAML1,2
HDAC7,NR4A1,2
HDAC9,STAT6,1
HIF1A,CXCL12,2
HIF1A,MUC1,2
HIF1A,SERPINE1,2
HIF1A,ERCC2,2
HIF1A,NR4A1,0
HIF1A,PPARA,2
HIF1A,STAT3,2
HIF1A,TWIST1,0
HIF1A,TWIST1,2
HIF1A,TWIST2,2
HMGN1,FOS,2
HMGN1,FOS,2
HOXA1,BCL2,0
HOXA1,EPAS1,2
HOXA1,MYC,0
HOXA5,PGR,0
HOXA5,PGR,0
HSF1,SERPINE1,0
HSF1,HOPX,2
HSF1,NFKB1,2
HSF1,RELA,2
HSF2,FOS,2
HSF2,FOS,2
HSF2,HIF1A,2
IKBKB,MMP9,1
IKBKB,TP53,2
ILF3,BIRC5,0
ING2,BCL2,1
ING4,BCL2,1
ING4,TP53,0
IRF1,BCL2,1
IRF1,MMP9,2
JUN,MMP9,0
JUN,MMP9,1
JUN,MMP9,2
JUN,PGR,1
JUN,PGR,1
JUN,BRCA1,0
JUN,CREM,0
JUN,ETS1,0
JUN,ETS2,2
JUN,MYB,2
JUN,MYC,1
JUN,PPARA,2
JUN,RUNX2,2
JUN,TP53,1
JUN,TP53,2
JUN,TP73,2
JUN,VDR,0
JUND,ERBB2,2
JUND,MYB,0
JUND,MYB,1
JUND,MYB,2
KDM4B,ESR1,2
KDM4B,ESR1,2
KDM4B,AR,0
KLF10,SERPINE1,0
KLF4,BIRC5,1
KLF4,KRT19,0
KLF4,VDR,1
KLF5,BIRC5,0
KLF5,MMP9,0
KLF5,FOXO1,2
KLF5,HIF1A,0
KLF6,MMP9,1
KLF8,MMP9,0
KLF9,PGR,2
KLF9,PGR,2
LEF1,BIRC5,2
LEF1,CEBPA,2
LEF1,MITF,0
LEF1,MYC,2
LEF1,SNAI2,2
LEF1,TCF4,2
LMO4,MTA1,2
MAL,MMP9,2
MAZ,MMP9,2
MECP2,ESR1,1
MECP2,ESR1,2
MECP2,ESR1,1
MECP2,ESR1,2
MSX2,BCL2,1
MSX2,NKX3-1,0
MTA1,MMP9,2
MTA1,MYC,2
MTA1,SNAI2,0
MYB,BCL2,0
MYB,BCL2,1
MYB,BCL2,2
MYB,ERBB2,2
MYB,SIM2,2
MYB,SP3,2
MYC,BCL2,2
MYC,GATA1,1
MYC,GATA4,0
MYC,TP73,0
MYCN,BIRC5,0
MYCN,CIITA,1
NCOA3,BCL2,0
NCOA3,ERBB2,2
NCOA3,BRCA1,2
NCOA6,FOS,0
NCOA6,FOS,0
NCOA6,HSF1,0
NCOR1,PPARG,1
NCOR1,SNAI2,1
NF1,DDB2,2
NFIL3,PGR,2
NFIL3,PGR,2
NFKB1,BCL2,0
NFKB1,BCL2,1
NFKB1,BCL2,2
NFKB1,BIRC5,0
NFKB1,BIRC5,2
NFKB1,CXCL12,0
NFKB1,MMP9,0
NFKB1,MMP9,1
NFKB1,MMP9,2
NFKB1,SERPINE1,0
NFKB1,SERPINE1,1
NFKB1,ELF3,2
NFKB1,FOXP3,0
NFKB1,GATA3,0
NFKB1,HDAC7,2
NFKB1,IRF1,0
NFKB1,IRF1,2
NFKB1,MYC,0
NFKB1,MYC,1
NFKB1,MYC,2
NFKB1,NCOR1,2
NFKB1,NFKBIA,0
NFKB1,NFKBIA,1
NFKB1,NFKBIA,2
NFKB1,TBP,2
NFKB1,WT1,2
NFKB1,YY1,1
NFKB1,YY1,2
NFKBIA,MMP9,2
NFYB,FOS,2
NFYB,FOS,2
NFYC,FOS,2
NFYC,FOS,2
NKX2-3,EGR1,2
NR1I2,BCL2,0
NR1I2,KLF6,0
NR1I2,NFKB1,1
NR1I2,RELA,1
NR2E3,ESR1,2
NR2E3,ESR1,2
NR4A1,SERPINE1,2
PARP1,BCL2,1
PARP1,SERPINE1,0
PARP1,FOXO1,1
PAWR,BCL2,1
PAX2,ERBB2,2
PAX5,BCL2,1
PAX5,LEF1,0
PAX5,MYCN,0
PAX5,RB1,2
PAX5,XBP1,1
PER1,BCL2,0
PIAS1,MUC1,1
PIAS1,STAT1,2
PIAS2,MUC1,1
PIAS2,AR,0
PIAS2,MYCN,1
PIAS3,MUC1,1
PIAS3,ATF1,0
PIAS4,MUC1,1
PIAS4,VDR,2
PPARA,MMP9,1
PPARA,SERPINE1,0
PPARA,SERPINE1,2
PPARA,NFKBIA,0
PPARA,NFKBIA,2
PPARA,STAT5A,2
PPARG,BCL2,0
PPARG,BCL2,1
PPARG,MMP9,1
PPARG,SERPINE1,2
PPARG,CEBPA,2
PPARG,CIITA,0
PPARG,CIITA,1
PPARG,MYC,1
PURA,ERBB2,2
PURA,AR,1
RB1,BIRC5,2
RB1,ATF2,2
RB1,ELF1,2
RB1,MYC,1
RB1,MYC,2
RB1,PPARG,2
RBMX,EGR1,1
RBMX,FOS,1
RBMX,FOS,1
RBMX,JUND,1
RELA,BCL2,0
RELA,BCL2,1
RELA,BCL2,2
RELA,BIRC5,0
RELA,BIRC5,2
RELA,CXCL12,0
RELA,MMP9,0
RELA,MMP9,1
RELA,MMP9,2
RELA,SERPINE1,0
RELA,SERPINE1,1
RELA,ELF3,2
RELA,EPAS1,0
RELA,HDAC7,2
RELA,IRF1,0
RELA,IRF1,2
RELA,MYC,0
RELA,MYC,1
RELA,MYC,2
RELA,NCOR1,2
RELA,NFKBIA,0
RELA,NFKBIA,1
RELA,NFKBIA,2
RELA,PPARA,2
RELA,SIRT1,0
RELA,STAT1,2
RELA,STAT3,2
RELA,TBP,0
RELA,TBP,2
RELA,TWIST1,0
RELA,WT1,2
RELA,YY1,1
RELA,YY1,2
RUNX2,SNAI2,0
RUNX3,MMP9,1
RUNX3,ING4,0
RUNX3,MYC,1
RUNX3,TCF4,0
SATB1,BCL2,0
SATB1,BCL2,2
SATB1,GATA3,0
SIM2,BCL2,1
SIRT1,MMP9,1
SIRT1,PER1,0
SIRT1,TP73,2
SMAD2,BCL2,2
SMAD2,AHR,2
SMAD2,GLI1,2
